[     470ms] [TIMESTAMP] Transition Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     470ms] [TIMESTAMP] Suspense Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     470ms] [TIMESTAMP] Idle Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[     470ms] [TIMESTAMP] Render @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9696
[     470ms] [TIMESTAMP] Commit @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2915
[     470ms] [TIMESTAMP] BailoutToCSR @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     470ms] [TIMESTAMP] WalletConnectionWidget @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     470ms] [TIMESTAMP] Web3Providers @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     470ms] [TIMESTAMP] WagmiProvider @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     470ms] [TIMESTAMP] Hydrate @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     470ms] [TIMESTAMP] WalletConnectionWidgetInner @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[     470ms] [TIMESTAMP] WalletConnectionWidgetContent @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
[   69346ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[   69407ms] [LOG] [Fast Refresh] done in 133ms @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  105209ms] [INFO] Download the React DevTools for a better development experience: https://react.dev/link/react-devtools @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  105210ms] [TIMESTAMP] Server Requests Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:710
[  105210ms] [TIMESTAMP] Server Components Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:710
[  105218ms] [LOG] [HMR] connected @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js:2489
[  105221ms] [TIMESTAMP] ​headers @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:817
[  105221ms] [TIMESTAMP] ​cookies @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js:817
[  105224ms] [TIMESTAMP] Blocking Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[  105224ms] [TIMESTAMP] Transition Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[  105224ms] [TIMESTAMP] Suspense Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[  105224ms] [TIMESTAMP] Idle Track @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9246
[  105235ms] [TIMESTAMP] Blocked @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9057
[  105247ms] [TIMESTAMP] Blocked @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9057
[  105275ms] [TIMESTAMP] Hydrated @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:9696
[  105276ms] [TIMESTAMP] a @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2874
[  105276ms] [TIMESTAMP] a @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2874
[  105277ms] [TIMESTAMP] Commit @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2915
[  105277ms] [TIMESTAMP] Root @ http://localhost:3301/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js:2804
